id,invoice_id,credit_card_number,credit_card_expiration_date,result,created_at,updated_at
1,2179,4.06863E+15,217,success,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
2,46,4.17782E+15,813,success,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
3,750,4.27181E+15,1220,success,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
4,4126,4.04803E+15,313,success,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
5,3715,4.29722E+15,1215,success,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
6,4966,4.55837E+15,417,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
7,1298,4.61325E+15,314,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
8,4898,4.83951E+15,213,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
9,1752,4.46353E+15,618,failed,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
10,290,4.14965E+15,420,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
11,3374,4.63688E+15,820,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
12,419,4.6253E+15,614,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
13,2747,4.51891E+15,518,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
14,3560,4.03589E+15,1020,failed,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
15,702,4.55667E+15,412,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
16,547,4.27938E+15,815,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
17,2850,4.25713E+15,1220,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
18,4702,4.05581E+15,619,failed,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
19,2779,4.31877E+15,218,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
20,2668,4.89037E+15,718,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
21,3792,4.1479E+15,1117,failed,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
22,3543,4.17207E+15,1117,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
23,2639,4.56676E+15,220,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
24,3477,4.97047E+15,1018,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
25,3477,4.38005E+15,616,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
26,520,4.07192E+15,819,failed,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
27,3812,4.61452E+15,119,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
28,4165,4.60422E+15,916,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
29,506,4.34943E+15,912,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
30,1840,4.61985E+15,715,failed,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
31,3057,4.13068E+15,415,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
32,3461,4.18465E+15,517,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
33,2494,4.34351E+15,520,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
34,2851,4.63021E+15,819,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
35,2235,4.01886E+15,120,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
